Tipo_Chamado,Status,Organizacoes,criado,primeira_resoista,tempo_de_resolucao
New Feature,Entregue,Sintesc,13/09/2023,-215:02:00,-199:02:00
Bug,Entregue,Bulbe,13/09/2023,05:55,21:55
HelpDesk Support,Resolvido,Bulbe,13/09/2023,06:11,22:11
HelpDesk Support,Resolvido,Bulbe,13/09/2023,05:25,21:25
HelpDesk Support,Resolvido,Bulbe,13/09/2023,06:13,22:13
Bug,Entregue,Sintesc,12/09/2023,08:00,24:00:00
HelpDesk Support,Resolvido,Bulbe,12/09/2023,05:33,21:33
HelpDesk Support,Resolvido,Bulbe,12/09/2023,07:05,23:05
Bug,Entregue,Sintesc,12/09/2023,-18:21:00,-02:21:00
Bug,Entregue,Sintesc,12/09/2023,01:39,17:39
HelpDesk Support,Resolvido,Bulbe,11/09/2023,-00:40:00,15:19
HelpDesk Support,Resolvido,Bulbe,08/09/2023,07:05,23:05
New Feature,Entregue,Sintesc,08/09/2023,-651:23:00,-635:23:00
HelpDesk Support,Cancelado,Pro Labore,06/09/2023,-18:18:00,-192:27:00
Bug,Entregue,Pro Labore,06/09/2023,-03:20:00,12:39
HelpDesk Support,Resolvido,Bulbe,05/09/2023,07:34,18:12
Bug,Entregue,Bulbe,05/09/2023,07:05,16:59
Bug,Entregue,Bulbe,05/09/2023,06:30,16:22
Bug,Entregue,Sintesc,05/09/2023,-52:34:00,-36:34:00
HelpDesk Support,Resolvido,Bulbe,04/09/2023,07:28,15:28
Bug,Entregue,Bulbe,04/09/2023,04:18,20:18
Bug,Entregue,Bulbe,04/09/2023,03:25,19:25
New Feature,Entregue,Claro - Hub de Aparelhos,01/09/2023,-50:31:00,-34:31:00
New Feature,Entregue,Sintesc,30/08/2023,-1117:13:00,
Bug,Entregue,Bulbe,28/08/2023,-00:02:00,15:57
Bug,Entregue,Bulbe,28/08/2023,06:43,-02:23:00
HelpDesk Support,Resolvido,Sintesc,28/08/2023,04:08,00:08
Bug,Entregue,Sintesc,24/08/2023,06:39,22:39
Bug,Entregue,Bulbe,24/08/2023,01:53,17:53
Bug,Entregue,Bulbe,23/08/2023,-04:40:00,23:17
Bug,Entregue,Claro - Hub de Aparelhos,22/08/2023,-14:08:00,01:51
Bug,Entregue,Sintesc,22/08/2023,-12:36:00,03:23
New Feature,Entregue,Claro - Hub de Aparelhos,21/08/2023,-98:39:00,-82:39:00
New Feature,Entregue,Pro Labore,18/08/2023,-25:32:00,-09:32:00
New Feature,Entregue,Claro - Hub de Aparelhos,17/08/2023,-37:34:00,-21:34:00
Bug,Entregue,Pro Labore,16/08/2023,-11:17:00,04:42
Bug,Entregue,Bulbe,16/08/2023,-26:46:00,-23:46:00
New Feature,Entregue,Bulbe,16/08/2023,-36:49:00,-20:49:00
Bug,Entregue,SST Shark,15/08/2023,-24:00:00,-08:00:00
New Feature,Entregue,Sintesc,14/08/2023,-1121:30:00,
New Feature,Entregue,Sintesc,14/08/2023,-1215:28:00,
New Feature,Pendente,Sintesc,14/08/2023,-1217:34:00,
Bug,Entregue,Sintesc,11/08/2023,-06:05:00,09:54
New Feature,Entregue,Sintesc,10/08/2023,-32:47:00,-16:47:00
Bug,Entregue,Sintesc,05/08/2023,07:42,23:42
New Feature,Entregue,Sintesc,05/08/2023,-208:00:00,-192:00:00
HelpDesk Support,Resolvido,Sintesc,05/08/2023,06:35,22:35
New Feature,Entregue,Sintesc,04/08/2023,-102:51:00,-86:51:00
Bug,Entregue,Sintesc,31/07/2023,04:00,20:00
New Feature,Entregue,Sintesc,28/07/2023,-16:19:00,-00:19:00
New Feature,Entregue,Sintesc,28/07/2023,-16:20:00,-00:20:00
New Feature,Entregue,Bulbe,28/07/2023,-60:07:00,-44:07:00
Bug,Entregue,Claro - Hub de Aparelhos,28/07/2023,-29:30:00,-13:30:00
HelpDesk Support,Resolvido,Bulbe,27/07/2023,02:06,18:06
New Feature,Entregue,Sintesc,25/07/2023,-425:23:00,-409:23:00
New Feature,Entregue,Sintesc,25/07/2023,-07:21:00,08:38
HelpDesk Support,Resolvido,Sintesc,25/07/2023,05:31,21:31
New Feature,Entregue,Bulbe,24/07/2023,-229:49:00,-213:49:00
Bug,Entregue,Sintesc,23/07/2023,01:30,17:30
New Feature,Entregue,Sintesc,23/07/2023,-16:00:00,00:00
New Feature,Entregue,Sintesc,22/07/2023,-195:39:00,-313:31:00
HelpDesk Support,Resolvido,Sintesc,21/07/2023,-02:11:00,13:48
Bug,Entregue,Sintesc,21/07/2023,-05:57:00,10:02
Bug,Entregue,Sintesc,20/07/2023,-02:57:00,13:02
Bug,Entregue,Sintesc,19/07/2023,-02:47:00,13:12
New Feature,Entregue,Claro - Hub de Aparelhos,17/07/2023,-104:00:00,-88:00:00
Bug,Entregue,B20,15/07/2023,-37:57:00,-21:57:00
Bug,Entregue,B20,15/07/2023,-58:02:00,-42:02:00
New Feature,Entregue,Sintesc,14/07/2023,-61:00:00,-45:00:00
New Feature,Entregue,Sintesc,14/07/2023,-72:00:00,-56:00:00
Bug,Entregue,Sintesc,14/07/2023,-08:00:00,08:00
Bug,Entregue,Sintesc,14/07/2023,-09:44:00,06:15
HelpDesk Support,Resolvido,Bulbe,13/07/2023,08:00,24:00:00
Bug,Entregue,Sintesc,13/07/2023,-02:59:00,13:00
Bug,Entregue,Bulbe,11/07/2023,07:47,07:47
Bug,Entregue,Claro - Hub de Aparelhos,11/07/2023,01:20,-72:58:00
Bug,Entregue,Pro Labore,11/07/2023,01:12,-12:05:00
Bug,Entregue,Pro Labore,11/07/2023,01:03,-14:56:00
HelpDesk Support,Cancelado,Claro - Hub de Aparelhos,11/07/2023,07:33,23:33
Bug,Entregue,Bulbe,10/07/2023,-01:28:00,-01:28:00
New Feature,Entregue,Claro - Hub de Aparelhos,07/07/2023,-08:00:00,-82:19:00
HelpDesk Support,Resolvido,Bulbe,03/07/2023,06:42,22:42
Bug,Entregue,Sintesc,28/06/2023,06:54,06:27
Bug,Entregue,Sintesc,28/06/2023,04:00,20:00
New Feature,Entregue,B20,23/06/2023,-104:00:00,-88:00:00
New Feature,Entregue,B20,23/06/2023,-17:04:00,-01:04:00
Bug,Entregue,Sintesc,23/06/2023,-01:05:00,14:54
Bug,Entregue,Sintesc,23/06/2023,02:26,18:26
Bug,Entregue,PedeQueVem!,22/06/2023,-34:38:00,-31:38:00
Bug,Entregue,PedeQueVem!,22/06/2023,-02:40:00,13:19
Bug,Entregue,Bulbe,21/06/2023,07:49,15:21
Bug,Entregue,Bulbe,20/06/2023,04:29,20:29
Bug,Entregue,Pro Labore,19/06/2023,01:37,17:37
HelpDesk Support,Resolvido,Bulbe,16/06/2023,05:52,21:52
HelpDesk Support,Resolvido,Bulbe,15/06/2023,08:00,24:00:00
Bug,Entregue,Claro - Hub de Aparelhos,15/06/2023,00:00,16:00
HelpDesk Support,Resolvido,Sintesc,14/06/2023,-02:43:00,13:16
New Feature,Entregue,Bulbe,14/06/2023,-06:35:00,09:24
HelpDesk Support,Cancelado,Sintesc,14/06/2023,02:54,18:54
New Feature,Entregue,Sintesc,13/06/2023,-248:00:00,-232:00:00
New Feature,Entregue,B20,13/06/2023,07:50,-82:50:00
New Feature,Pendente,Sintesc,12/06/2023,-1576:49:00,
New Feature,Entregue,Bulbe,12/06/2023,-36:50:00,18:47
New Feature,Entregue,Bulbe,09/06/2023,-46:24:00,-30:24:00
Bug,Entregue,Sintesc,07/06/2023,-09:42:00,06:17
Bug,Entregue,Sintesc,07/06/2023,-22:46:00,-06:46:00
Bug,Entregue,Bulbe,05/06/2023,01:52,08:00
Bug,Entregue,Bulbe,31/05/2023,-01:36:00,14:23
Bug,Entregue,Claro - Hub de Aparelhos,31/05/2023,-29:48:00,-13:48:00
New Feature,Entregue,Bulbe,26/05/2023,-26:41:00,-10:41:00
Bug,Entregue,PedeQueVem!,26/05/2023,-13:25:00,02:34
Bug,Entregue,Bulbe,23/05/2023,-08:48:00,07:11
Bug,Entregue,Bulbe,23/05/2023,-10:26:00,05:33
New Feature,Entregue,Pro Labore,23/05/2023,-132:49:00,-116:49:00
New Feature,Entregue,Sintesc,22/05/2023,-162:38:00,-146:38:00
New Feature,Entregue,Sintesc,22/05/2023,-46:59:00,-30:59:00
New Feature,Entregue,Sintesc,22/05/2023,-276:37:00,-260:37:00
New Feature,Entregue,Sintesc,22/05/2023,-300:41:00,-284:41:00
Bug,Entregue,Claro - Hub de Aparelhos,22/05/2023,-119:48:00,-103:48:00
Bug,Entregue,Claro - Hub de Aparelhos,22/05/2023,-76:14:00,-60:14:00
Bug,Entregue,Sintesc,22/05/2023,-13:23:00,02:36
Bug,Entregue,Sintesc,19/05/2023,-00:15:00,15:44
Bug,Entregue,Pro Labore,18/05/2023,04:46,20:46
Bug,Entregue,Sintesc,17/05/2023,00:00,16:00
New Feature,Entregue,Sintesc,17/05/2023,-68:04:00,-52:04:00
Bug,Entregue,Sintesc,17/05/2023,00:39,16:39
Bug,Entregue,Sintesc,17/05/2023,01:27,17:27
New Feature,Entregue,Sintesc,16/05/2023,-80:19:00,-64:19:00
New Feature,Entregue,Sintesc,16/05/2023,-41:41:00,-25:41:00
Bug,Entregue,Claro - Hub de Aparelhos,16/05/2023,-13:36:00,02:23
Bug,Entregue,Claro - Hub de Aparelhos,15/05/2023,-16:34:00,-00:34:00
Bug,Entregue,Sintesc,15/05/2023,-01:34:00,14:25
New Feature,Entregue,Sintesc,15/05/2023,-420:30:00,-404:30:00
Bug,Entregue,Visione,13/05/2023,-01:48:00,14:11
New Feature,Entregue,Visione,13/05/2023,-44:47:00,-28:47:00
Bug,Entregue,Visione,13/05/2023,-01:49:00,14:10
Bug,Entregue,Bulbe,12/05/2023,-03:36:00,11:27
Bug,Entregue,Bulbe,11/05/2023,-17:19:00,17:25
Bug,Entregue,Bulbe,11/05/2023,06:17,22:17
